id,name,keyword,describe,hashtag,cal,cover1,cover2,inner1,inner2,ingredient
1,木瓜牛乳大王,Night market Drink,復刻夜市記憶的木瓜牛乳，特別用紅砂糖來替代，木瓜也是現打製作，希望跟你老家冰菓室的味道一樣,#木瓜 #二號砂糖,100.7,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
2,西瓜優格,I'm a rich melon,西瓜獨有沙沙(ㄕㄨㄚ)的甜，讓優格的酸竄出來，兩個風味不斷run，還會吃到甘草芭樂的感覺。,#西瓜 #生乳優格,80.2,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
3,芝麻豆腐,Vintage Style,Eriel最不甜的口味，豆腐含量39%，相較於芝麻糊帶來的油耗味，我們是芝麻生炒後，加入整塊嫩豆腐，讓吃下去的風味在尾韻散出豆腐香,#黑芝麻 #嫩豆腐,109.3,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
4,草莓奇亞籽,All love is sweet,整顆草莓下去與奇亞籽帶出酸甜口感，基本口味也要很好吃喔，給第一次來的你,#草莓 #奇亞籽,101.9,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
5,柚子,Autumn is a second spring,柚子強烈氣味，吃起來卻格外清爽，過了秋天還想吃上一口,#柚子 #馬斯卡彭,96,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
6,紅絲絨咖啡,BLACK PINK,挪威朋友的家鄉飲品，亮黑的義式濃縮與鮮紅的甜菜根相遇，結果都給彼此最後的溫柔,#甜菜根 #義式濃縮,107.5,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
7,巧克力奶酒,Whisper me your whisky,第一口先是巧克力，再來奶酒味，最後是利口酒的酒精感。懂得排隊的紳士們,#威士忌奶酒 #深巧克力酒,205.7,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
8,苦甜巧克力,Bitter than your EX,反正都是愈苦就愈愛,#巧克力 #有機可可粉,119.3,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
9,海鹽椰子,All from the seaside,亞洲的鹽巴都偏鹹，在我們的調整下，還是要謝謝海鹽把椰奶變高級了,#海鹽 #椰子,120.7,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
10,瑞可塔愛蜜,Honey，I'm Cheesy,Ricotta在英文就是Re-cooked的意思，把乳酪上層的乳清再做成乳酪，雖然在義大利菜它都是配角，但與台灣重香味的龍眼蜜互補搭配，是很棒的主角,#瑞可塔起司 #龍眼蜜,116.8,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
11,泰式奶茶,Mama's cookingชาไทย,來自為愛降落台灣的泰國媳婦，我們保留最道地的泰奶(煉乳、奶水)，無添加一滴牛奶，藉由膠原蛋白與馬斯卡彭起司，達到奶底冰淇淋的質地，最大保留風味,#泰奶#煉乳 #奶水,89.8,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
12,泰式奶綠,,,,,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
13,文山包種茶,In the Mood for Love ,入口帶來抹茶感，尾調開始出現包種茶的清香,#文山包種茶,97.4,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
14,紅烏龍一場,Tea Taitung,兼具紅茶的橙紅水色與熟果香，同時保有烏龍茶的甘醇與活性，重度喜好茶款冰淇淋的首選,#台東紅烏龍,97.4,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
15,橄欖油,Fresh as a daisy ,選用單一品種Arbequina (阿爾貝吉納)，風味細膩，滑順奶油感最佳，當橄欖油經過快速低溫做成冰淇淋，會有意想不到的果香味、堅果調,#單一品種橄欖油,108.4,https://i.meee.com.tw/oCyYl3C.png,https://i.meee.com.tw/ICNO00m.png,https://i.meee.com.tw/nQp7mio.png,https://i.meee.com.tw/J1Bs6yF.png,https://i.meee.com.tw/IBZqEld.png
